,exp,fid,psnr,lpips
0,"Inpaint ffhq_trust_(999.0,StochasticLinearScheduler_2to6,1)",32.63386240849792,23.394846901014798,0.14531615152955055
1,"Inpaint ffhq_trust_(442.0,StochasticLinearScheduler_2to6,1)",38.95475527127428,22.41913912453413,0.1543674050271511
2,"Inpaint ffhq_trust_(999.0,StochasticLinearScheduler_1to3,1)",44.81321561964603,22.734123418207705,0.17839036390185356
3,"Inpaint ffhq_trust_(440.0,StochasticLinearScheduler_0to8,1)",67.65727689002688,18.964431330947427,0.2003222842514515
4,"Inpaint imagenet_trust_(999.0,StochasticLinearScheduler_0to8,1)",101.70755310331924,19.043059400322065,0.2094932395219803
5,"Inpaint imagenet_trust_(442.0,StochasticLinearScheduler_0to8,1)",99.86552650298756,18.79286570822434,0.20994370684027672
6,"Inpaint ffhq_trust_(441.0,StochasticLinearScheduler_0to8,1)",48.12629636142378,20.962447689290624,0.17837049700319768
7,"Inpaint ffhq_trust_(999.0,StochasticLinearScheduler_0to4,1)",38.70464732773064,22.20531200392144,0.16107628136873245
8,"Inpaint imagenet_trust_(999.0,StochasticLinearScheduler_2to6,1)",105.55866992317334,18.981806407371785,0.21541144214570523
9,"Inpaint imagenet_trust_(442.0,StochasticLinearScheduler_2to6,1)",101.94987300047376,18.9016653881264,0.2132204096019268
10,"Inpaint ffhq_trust_(440.0,StochasticLinearScheduler_0to4,1)",78.56285984510419,18.14668956067295,0.24680718645453453
11,"Inpaint ffhq_trust_(999.0,2,1)",44.21504015860114,23.3431153288635,0.17817772388458253
12,"Inpaint ffhq_trust_(441.0,StochasticLinearScheduler_0to4,1)",49.50505728830342,20.31207817751551,0.19158454947173595
13,"Inpaint ffhq_trust_(999.0,StochasticLinearScheduler_0to8,1)",35.08257852982115,23.220938605105236,0.14802954770624638
14,"SuperResolution ffhq_trust_(441.0,StochasticLinearScheduler_0to4,1)",37.52017387498938,28.570624573234976,0.1505670791119337
15,"SuperResolution ffhq_trust_(999.0,StochasticLinearScheduler_0to8,1)",36.25693552661863,28.16090773817881,0.1558268617093563
16,"SuperResolution imagenet_trust_(999.0,StochasticLinearScheduler_2to6,1)",54.21106905600425,23.824590843799847,0.22893609598279
17,"SuperResolution ffhq_trust_(999.0,2,1)",45.013293002282296,28.45666384454713,0.1631767750531435
18,"SuperResolution imagenet_trust_(441.0,StochasticLinearScheduler_0to8,1)",55.23973897973474,23.75366970957193,0.2361272082477808
19,"SuperResolution ffhq_trust_(441.0,StochasticLinearScheduler_2to6,1)",36.411639073865445,28.26759235942452,0.15236831441521645
20,"SuperResolution ffhq_trust_(440.0,StochasticLinearScheduler_0to4,1)",42.04005790781349,28.617749081122938,0.1594472859799862
21,"SuperResolution ffhq_trust_(441.0,StochasticLinearScheduler_0to8,1)",36.06865286419401,28.16829618442857,0.15575655803084373
22,"SuperResolution imagenet_trust_(441.0,StochasticLinearScheduler_2to6,1)",52.79826082377389,23.946718831128727,0.227346560806036
23,"SuperResolution ffhq_trust_(999.0,StochasticLinearScheduler_0to4,1)",34.94053167548486,28.350014494649844,0.14926733419299126
24,"SuperResolution imagenet_trust_(999.0,StochasticLinearScheduler_0to8,1)",53.419963790299676,23.737786817414932,0.23289042890071868
25,"SuperResolution ffhq_trust_(999.0,StochasticLinearScheduler_2to6,1)",35.73271402615393,28.354373102188994,0.15187993243336678
26,"SuperResolution ffhq_trust_(999.0,StochasticLinearScheduler_1to3,1)",41.563447024434765,28.3730122179518,0.15877194166183473
27,"SuperResolution ffhq_trust_(440.0,StochasticLinearScheduler_0to8,1)",37.51070646079779,28.29923331436766,0.15752635933458806
28,"GaussianBlur ffhq_trust_(440.0,StochasticLinearScheduler_0to4,1)",54.99528844109068,27.45662348043457,0.19133581548929215
29,"GaussianBlur imagenet_trust_(441.0,StochasticLinearScheduler_0to8,1)",69.49255922526811,24.17565098553341,0.2657183910906315
30,"GaussianBlur ffhq_trust_(441.0,StochasticLinearScheduler_2to6,1)",45.9273898485373,28.014293514211076,0.17378832265734673
31,"GaussianBlur imagenet_trust_(999.0,StochasticLinearScheduler_2to6,1)",74.82666407508788,23.99332971490934,0.27041028916835785
32,"GaussianBlur ffhq_trust_(999.0,StochasticLinearScheduler_0to8,1)",42.981081209012416,28.2939206807018,0.17340072721242905
33,"GaussianBlur ffhq_trust_(441.0,StochasticLinearScheduler_0to4,1)",49.94900076060401,27.80482968548659,0.18085483841598035
34,"GaussianBlur ffhq_trust_(999.0,2,1)",57.12058124350335,27.173156861212348,0.1993741849064827
35,"GaussianBlur ffhq_trust_(440.0,StochasticLinearScheduler_0to8,1)",45.59226075338535,28.178600685790656,0.17569661684334278
36,"GaussianBlur ffhq_trust_(999.0,StochasticLinearScheduler_2to6,1)",45.55684604537083,28.10034917912894,0.1727679681777954
37,"GaussianBlur imagenet_trust_(999.0,StochasticLinearScheduler_0to8,1)",69.45814078221503,24.081892653029207,0.26552248783409593
38,"GaussianBlur ffhq_trust_(999.0,StochasticLinearScheduler_1to3,1)",54.111115219798364,27.361957171298624,0.1946343059837818
39,"GaussianBlur ffhq_trust_(999.0,StochasticLinearScheduler_0to4,1)",48.93632126867186,27.867736212591694,0.1811351516842842
40,"GaussianBlur ffhq_trust_(441.0,StochasticLinearScheduler_0to8,1)",43.339370280259686,28.136104678976395,0.17141588315367698
41,"GaussianBlur imagenet_trust_(441.0,StochasticLinearScheduler_2to6,1)",71.46057969841615,23.94681919452718,0.2661122186481953
