,exp,fid,psnr,lpips
0,"SuperResolution ffhq_trust_(999.0,5,1.0)",36.06792145778246,28.249633067565767,0.15170724645256997
1,"SuperResolution ffhq_trust_(999.0,10,1.0)",36.041437597123036,28.283283669772878,0.1625899252295494
2,"SuperResolution ffhq_trust_(999.0,15,1.0)",39.134918339934075,28.05626942582202,0.16971720956265926
3,"SuperResolution ffhq_trust_(999.0,6,1.0)",34.28817640183206,28.295497314753433,0.1546615485101938
4,"GaussianBlur ffhq_trust_(442.0,4,1.0)",48.2751799414786,28.018596279534503,0.17807540573179723
5,"GaussianBlur ffhq_trust_(999.0,5,1.0)",45.1714206083696,28.11778858658079,0.17400604262948036
6,"GaussianBlur ffhq_trust_(999.0,10,1.0)",39.697363316281724,28.374026885337603,0.1698608771711588
7,"GaussianBlur ffhq_trust_(999.0,4,1.0)",47.25346462089874,28.013187522181596,0.17857152603566648
8,"GaussianBlur ffhq_trust_(441.0,5,1.0)",45.86294032085647,28.082568673295274,0.1760982374101877
9,"GaussianBlur ffhq_trust_(999.0,6,1.0)",44.23947851346941,28.1706712802245,0.1742235939204693
10,"SuperResolution_ablation1 ffhq_trust_(442.0,5,1.0)",34.04487780512824,28.218494949637012,0.15188562929630278
11,"SuperResolution_ablation1 ffhq_trust_(440.0,10,1.0)",36.29353013360344,28.128155126521182,0.16166181586682796
12,"SuperResolution_ablation1 ffhq_trust_(440.0,3,1.0)",44.89044515397006,28.56649437723861,0.1587899935245514
13,"SuperResolution_ablation1 ffhq_trust_(999.0,5,1.0)",36.23267986588735,28.384117112444578,0.15080762185156346
14,"SuperResolution_ablation1 ffhq_trust_(440.0,7,1.0)",37.200274670227714,28.22835536779798,0.15772916451096536
15,"SuperResolution_ablation1 ffhq_trust_(440.0,1,1.0)",104.00894951715264,22.04319566689521,0.35804726392030717
16,"SuperResolution_ablation1 ffhq_trust_(438.0,5,1.0)",121.98092635895208,20.031535706959865,0.41567848637700083
17,"SuperResolution_ablation1 ffhq_trust_(440.0,5,1.0)",35.84840035628076,28.348927171525794,0.15305138066411017
18,"SuperResolution_ablation1 ffhq_trust_(441.0,5,1.0)",35.445529930002465,28.282946967463317,0.15149869523942472
19,"SuperResolution_ablation1 ffhq_trust_(439.0,5,1.0)",55.947394338131744,28.024343292042833,0.18526096478104592
20,"Inpaint imagenet_trust_(442.0,5,2.0)",103.41098141579357,18.588925573173594,0.20810951590538024
21,"Inpaint imagenet_trust_(442.0,4,1.0)",106.49898837592491,18.85035482521924,0.2301898281276226
22,"Inpaint imagenet_trust_(442.0,4,2.0)",97.57331372567745,18.65169422990531,0.2073909316956997
23,"Inpaint ffhq_trust_(442.0,4,1.0)",35.943785287168225,22.652811390814527,0.15272503927350045
24,"Inpaint ffhq_trust_(442.0,4,2.0)",41.73568676369007,22.421235578541026,0.1549670185893774
25,"SuperResolution_ablation2 ffhq_trust_(999.0,4,1.0)",36.95480272583916,28.388934817707373,0.15012772455811502
26,"SuperResolution_ablation2 ffhq_trust_(440.0,6,1.0)",37.820993445791885,28.391885793977675,0.15413518771529197
27,"SuperResolution_ablation2 ffhq_trust_(442.0,4,1.0)",36.05507424556862,28.395689644455732,0.14971126168966292
28,"SuperResolution_ablation2 ffhq_trust_(440.0,5,1.0)",35.208953123426454,28.46878192319929,0.15217168681323529
29,"SuperResolution_ablation2 ffhq_trust_(441.0,4,1.0)",35.45797246987331,28.456987537528274,0.14981534086167814
30,"SuperResolution_ablation2 ffhq_trust_(438.0,15,1.0)",50.80967499330052,27.945954848972477,0.19114433713257312
31,"SuperResolution_ablation2 ffhq_trust_(439.0,10,1.0)",40.90004029652346,28.181788836546318,0.165250960662961
32,"SuperResolution_ablation2 ffhq_trust_(441.0,5,1.0)",36.18951882306129,28.484250999565305,0.15205526396632194
